anchor_id,phase,turn_type,base_vx,base_vy,base_w,left_vx,left_vy,left_w,right_vx,right_vy,right_w,nonext_vx,nonext_vy,nonext_w
26945,pre_switch,unknown,-4.2650150506301,1.14015413009242,-0.0789666629780912,-4.28357018373615,1.16257419600974,-0.0789670084191297,-4.26774862267826,1.11118162751594,-0.0789669177451265,-9.29670834218149,-7.37976810076129,-4.30135430487437
26960,post_switch,unknown,-0.00319774311433352,-0.0392393574314385,0.00162139164721659,0.0261914165600956,-0.0301931653521191,0.00162042476298923,-0.0303747460949532,-0.024854289520352,0.00162058020243753,-9.29670834218149,-7.37976810076129,-4.30135430487437
27089,post_switch,unknown,-1.14135853163712,0.643155397620903,0.0614152995389331,-1.26187796976047,-0.362948331045371,0.0614148202417787,-0.344717786256462,1.26934297711594,0.061415937556892,-21.5130053624354,-20.4839965837476,-8.07165728942301
27149,post_switch,unknown,-0.13739309461024,-0.47686919756854,0.001501552540775,0.0803870933585208,-0.337684950860497,0.0023299163342507,-0.440582758661819,-0.234061439480039,-0.0081290610971488,4.22186436549296,-12.9005938150486,-8.05828733268318
27222,post_switch,unknown,1.98523440160046,1.94268195070382,0.0207011341522854,0.525878568282082,1.95724788640613,-0.0139754011962387,2.7590290090484,-0.199152044768701,-0.0139770585145223,-26.5581650983186,-12.3971502387932,-5.94951258109179
27242,post_switch,unknown,-0.335693295492007,0.511351080105846,0.00629879991341337,-0.489755630266162,0.289897703477151,0.00629996683992898,0.125126498048127,0.593742187913914,0.00629960803487425,30,10.8338507200943,3.55120851712088
27249,pre_switch,unknown,2.28049333230492,-0.867355191567695,0.0754931836450339,2.2124615427868,-1.122193259958,0.0754934671847335,2.50879974318396,-0.735259983854203,0.0754942155735779,9.21703658196344,4.9793642804097,2.55409905065197
27333,post_switch,unknown,-3.42754425923113,-7.13688652791007,-0.457009779898502,2.65148351187187,-7.49126000143736,-0.457006871811806,-7.47545303409907,-2.58780132725058,-0.45700998900044,7.61673968911174,10.8897747163699,3.87878279421349
27411,post_switch,unknown,0.452961113530313,4.42367222589964,0.0873537318238276,-2.8138963479664,3.44085929933994,0.0873547979282384,2.81962007260422,2.94469375061938,0.0873568600948715,12.3128082270027,8.68116827912113,2.04297532430537
27457,pre_switch,unknown,5.67721677874057,-3.76754668115449,-0.0752990990325409,5.66961351779501,-3.68766139539973,-0.0753002578380521,5.62609842685776,-3.82941673966008,-0.0752996121397003,8.89413790011947,5.57698148065665,3.17237579558134
27472,post_switch,unknown,-0.0654806365193129,0.142104849137363,-0.00192780947558596,-0.146350130476057,0.054437042205129,-0.00192863694556182,0.0536907468285941,0.146912949879707,-0.00192798032930676,8.89413790011947,5.57698148065665,3.17237579558134
27487,post_switch,unknown,-2.44044669797872,5.34746301727728,-0.0480855334628822,-4.71796960808132,3.53814193484179,-0.216458162806613,0.97768416390368,4.42779578226608,0.0214679110672312,10.6745832565566,12.7712429927975,7.59517137209451
27636,post_switch,unknown,13.861463046879,16.2552340483637,-0.670363215736,-1.72209199817513,21.3334999563547,-0.670363404290002,21.2898203875316,1.64513744571426,-0.670363315503138,-4.20226732083248,-6.50122207757774,-4.13191860224823
27646,pre_switch,unknown,7.64037476730035,-19.4984971545429,1.03510131176872,7.58247301882836,-19.5883270900785,1.03510401623725,7.74483689288795,-19.47592020958,1.03510655508393,7.71985673065072,-7.01846455256558,-5.52209464806014
27669,pre_switch,unknown,-0.0598268422025673,3.39559861624465,-0.0104575608074432,-0.145659128879481,3.52594030120073,-0.0104570714425719,-0.329300962432571,3.20799041435205,-0.0104520436340905,30,5.70074084980587,0.251581195327477
27690,pre_switch,unknown,3.5239570560666,0.967491858624323,-0.0924878937735229,2.09927133734704,3.05996650476184,-0.0924843317792118,2.79959506302077,-2.40249728606489,-0.0924864360935175,-22.5212984402447,-18.958244301701,-10.5680359119037
27710,pre_switch,unknown,7.5633659793822,-0.537979651487036,-0.176509046510508,6.51927634007194,2.82696053717275,-0.176506644308054,4.64305847298374,-5.8077814776609,-0.176506884175158,-29.0977018165416,-15.2676730486796,-6.35891964604541
27747,pre_switch,unknown,2.67191015438901,-2.18117333933408,0.113508332372092,3.50481705113454,0.645260025289924,0.113507976948839,0.0843722248134855,-3.59080649176059,0.113506357893343,10.6465129870139,-2.38235515640868,-3.03107779622776
27874,pre_switch,unknown,-1.0098724938784,21.718210237714,0.692591143953835,-1.00829118184091,21.8143364752654,0.69258900498942,-1.07960672168189,21.6507138051008,0.692593941463912,-1.12621674167041,7.07706970825396,5.15707528028002
28183,pre_switch,unknown,0.0316810399416805,1.86381074697358,0.0268699956355158,-0.588341756832863,0.601335232167982,0.0268718140205488,0.654427436694453,1.71772888848382,0.026871861943662,26.7599979560646,15.3041679454522,8.03968123171449
28199,pre_switch,unknown,-1.36040843597047,9.52846829790921,-0.104376721146838,-1.14590687986257,9.60230662119657,-0.104372533445215,-1.5642992097117,9.62792988115552,-0.104373004617742,21.8862622045663,2.07538627709968,-1.34225862499669
28406,pre_switch,unknown,-22.7992268581275,-29.5272485659518,0.0231991080847246,-22.8339319104465,-29.5591404220762,0.0231980266436285,-22.7318393839968,-29.5495341867978,0.0231991210543003,-22.7924357277893,-12.7459872087335,-6.99906377538433
28410,pre_switch,unknown,-2.0917422214206,-1.81656997125459,-0.0095145240000237,-2.35904712617471,-2.04682292754549,-0.00951394588936282,-1.59294428094522,-1.99948523935752,-0.00951407757436123,-22.7924357277893,-12.7459872087335,-6.99906377538433
28453,post_switch,unknown,-30,-20.5841813613298,1.021552319633,20.4856161619527,-30,1.47366891081932,30,9.99606418487458,2.98454680700581,17.4786262455254,15.1442613492414,6.79978745043834
28492,post_switch,unknown,11.9124245971635,19.9947926407868,-0.105847664887923,16.2559001742011,-13.5092676028127,-1.5336721918596,16.9159537882879,-12.5275135153529,-0.76461171163639,-18.3947588355683,16.5487873411332,11.2376386350964
28520,pre_switch,unknown,30,12.1953565707519,0.203224032989014,30,12.2215517186473,0.203221546515426,30,12.2312746688772,0.203223445821115,30,19.0494682708069,10.4396817810261
28686,post_switch,unknown,-0.103210041753185,-0.295635169488263,-0.000544560498385851,0.138247440292356,-0.283487950681387,-0.000544311351728477,-0.282532476179188,-0.133489855299155,-0.00054272198540473,13.6254138581653,8.1109341709575,4.54689525227488
28724,post_switch,unknown,-0.57082596769991,-0.70571593097724,0.0160306164882223,0.0963884857836839,-0.904269425583925,0.0160322949878987,-0.902218024317184,-0.0935255061866867,0.0160313407161265,6.35134248687263,-4.48521304180374,-3.55093051131984
28811,pre_switch,unknown,-0.0239899940159769,2.96602075632598,0.0329269262456134,-2.66550420259673,1.90937355359467,0.0329255481024478,2.59100316901066,1.84535784862787,0.0329261076842064,-4.98061351031215,-15.2809039140231,-4.62835162800629
