time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
1.46357,19.46760,1.54138,0.48015,-21.57729,-24.86079,-1.71250,-7.29519,-14.83651,-0.76786,41.54479,0.53240,1.48015,16.53305,1.00000,0.87092,0.00000
1.49357,19.28605,0.53627,0.42693,-20.91277,-26.85434,-1.70957,-6.45951,-14.96157,-0.74669,40.54255,0.71395,1.42693,16.29643,1.00000,0.87354,0.00000
1.52363,19.10778,-0.48743,0.37470,-20.17007,-29.08243,-1.70516,-5.59431,-15.06492,-0.72386,39.52264,0.89222,1.37470,16.07010,1.00000,0.74929,0.00000
1.55314,18.96926,-1.49924,0.32862,-18.29379,-30.29420,-1.60823,-4.78508,-15.13880,-0.70283,38.51456,1.03074,1.32862,15.87703,1.00000,0.83621,0.00000
1.58187,18.81464,-2.57724,0.28394,-16.65204,-32.13140,-1.55388,-4.01933,-15.20602,-0.68690,37.44153,1.18536,1.28394,15.72825,1.00000,0.89367,0.00000
1.61896,18.63056,-3.89506,0.22535,-15.47936,-35.02400,-1.52157,-3.10591,-15.17409,-0.66547,36.13091,1.36944,1.22535,15.48870,1.00000,0.89046,0.00000
1.65438,18.47992,-5.21724,0.17458,-13.56398,-36.31395,-1.45108,-2.20863,-15.00296,-0.63807,34.81596,1.52008,1.17458,15.16466,1.00000,0.97854,0.00000
1.68547,18.28554,-6.61471,0.12691,-12.43039,-37.99479,-1.49073,-1.36792,-14.70831,-0.60832,33.42928,1.71446,1.12691,14.77178,1.00000,0.99313,0.00000
1.71714,18.10261,-7.82019,0.08211,-10.94500,-39.16747,-1.45842,-0.66496,-14.37235,-0.57490,32.23570,1.89739,1.08211,14.38772,1.00000,2.20121,0.00000
1.74936,17.95531,-9.18903,0.03644,-8.32602,-40.41832,-1.42904,-0.00191,-13.95278,-0.55163,30.87874,2.04469,1.03644,13.95278,1.00000,0.97562,0.00000
1.78072,17.76842,-10.44938,-0.00928,-7.46605,-41.51283,-1.42023,0.60306,-13.41565,-0.53276,29.63477,2.23158,0.99072,13.42919,1.00000,1.03221,0.00000
